상품명,URL,요약정보,여행도시,리뷰_평균점수,식사,가성비,가이드,숙소,일정,이동수단,상품명_리뷰수, 10대 이하,20대,30대,40대,50대,60대 이상 ,가족여행,나혼자,단체여행,친구들과,커플
[보홀 / 헤난 알로나 디럭스룸] 데이투어+로복강+돌핀왓칭+호핑+마사지 3박5일,https://www.modetour.com/package/86822452,"3박5일,진에어직항,쇼핑 2회,가이드 경비$50,선택관광있음,자유일정포함",보홀,4.6,5,0,27,9,7,1,40,0,1,4,11,7,6,16,1,1,6,5
[보홀 / 헤난 알로나 디럭스룸] 데이투어+로복강+호핑 3박5일,https://www.modetour.com/package/86689265,"3박5일,제주항공직항,쇼핑 2회,가이드 경비$50,선택관광있음,자유일정포함",보홀,4.8,1,0,24,10,7,2,32,0,0,4,7,6,2,10,0,0,6,3
[보홀 / 헤난 프리미어코스트 디럭스룸] 발리카삭호핑투어+돌핀왓칭 3박5일,https://www.modetour.com/package/86830043,"3박5일,진에어직항,쇼핑 2회,가이드 경비$50,선택관광있음,자유일정포함",보홀,4.6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
[보홀] 라메디 디럭스룸 3박4일,https://www.modetour.com/package/95572100,"3박4일,제주항공직항,쇼핑 2회,가이드 경비$40,선택관광있음,자유일정포함",보홀,4.3,0,0,5,2,1,0,7,0,1,1,1,2,0,2,1,0,1,1
[보홀] 비 그랜드 디럭스 / 고래상어+알로나비치+노팁 3박5일,https://www.modetour.com/package/95303992,"3박5일,제주항공직항,쇼핑 없음,가이드 경비없음,선택관광있음,자유일정포함",보홀,5,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0
[보홀][노쇼핑+노팁] 블루워터 팡라오 디럭스 / 데이투어+로복강+마사지3종 3박5일,https://www.modetour.com/package/90822000,"3박5일,진에어직항,쇼핑 없음,가이드 경비없음,선택관광있음,자유일정포함",보홀,4.5,1,0,2,0,1,0,2,0,0,0,0,0,2,2,0,0,0,0
[보홀][노쇼핑+노팁] 블루워터 팡라오 디럭스 / 데이투어+로복강+호핑 3박5일,https://www.modetour.com/package/86813208,"3박5일,진에어직항,쇼핑 없음,가이드 경비없음,선택관광있음,자유일정포함",보홀,4.4,1,0,6,2,2,0,11,0,0,1,4,3,1,2,0,1,3,3
[보홀][노쇼핑+노팁] 헤난 알로나 디럭스 / 데이투어+로복강+호핑 3박4일,https://www.modetour.com/package/95570842,"3박4일,제주항공직항,쇼핑 없음,가이드 경비없음,선택관광있음,자유일정포함",보홀,5,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
[비즈니스석 탑승] 북유럽 4국 9일 (노르웨이/스웨덴/덴마크/핀란드) <크루즈 씨사이드1박/플롬열차탑승/게이랑에르 피오르드>,https://www.modetour.com/package/91475999,"6박9일,네덜란드항공경유,쇼핑 1회,가이드 경비EUR90,선택관광있음,인솔자동행","구드방겐, 스톡홀름, 헬싱키, 오슬로, 피얼란드, 코펜하겐, 베르겐, 게이랑에르, 하당에르, 플롬, 울비크, 레르달",5,0,0,8,0,4,2,8,0,0,2,0,0,6,4,0,0,2,2
[비즈니스탑승] 튀르키예 일주 10일 <국내선2회 탑승/힐튼 2박/돌마바흐체포함/수멜라수도원/10대 관광지/10대 특식/아마시아+트라브존 관광포함>,https://www.modetour.com/package/90547105,"8박10일,터키 항공직항,쇼핑 6회,가이드 경비EUR100,선택관광있음,인솔자동행","안탈리아, 파묵칼레, 이스탄불, 카파도키아, 트라브존, 아마시아, 에페소",5,1,0,3,0,0,0,4,0,0,1,1,1,1,2,1,0,0,1
[선착순4명10만원할인] [품격] 시드니/멜버른/골드코스트 9일 (12대특전/10대특식),https://www.modetour.com/package/91859875,"7박9일,대한항공직항,쇼핑 3회,가이드 경비$97,선택관광있음","포트스테판, 멜버른, 블루마운틴, 골드코스트, 시드니",5,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0
[선착순4명10만원할인] [품격] 시드니/멜버른/골드코스트 9일 (12대특전/4대특식),https://www.modetour.com/package/91859875,"7박9일,대한항공직항,쇼핑 3회,가이드 경비$90,선택관광있음","포트스테판, 멜버른, 블루마운틴, 골드코스트, 시드니",5,0,0,1,0,1,1,3,0,1,0,0,1,1,1,0,1,1,0
[선착순4명10만원할인] [품격] 시드니/멜버른/골드코스트 9일 (12대특전/5대특식),https://www.modetour.com/package/91859875,"7박9일,대한항공직항,쇼핑 3회,가이드 경비$92,선택관광있음","포트스테판, 멜버른, 블루마운틴, 골드코스트, 시드니",5,0,0,1,0,2,1,2,0,1,0,0,0,1,1,0,0,1,0
[선착순4명10만원할인] [품격] 시드니/멜버른/골드코스트 9일 (12대특전/6대특식),https://www.modetour.com/package/91859875,"7박9일,대한항공직항,쇼핑 3회,가이드 경비$93,선택관광있음","포트스테판, 멜버른, 블루마운틴, 골드코스트, 시드니",5,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
[선착순4명10만원할인] [품격] 시드니/멜버른/골드코스트 9일 (12대특전/7대특식),https://www.modetour.com/package/91859875,"7박9일,대한항공직항,쇼핑 3회,가이드 경비$94,선택관광있음","포트스테판, 멜버른, 블루마운틴, 골드코스트, 시드니",5,0,0,0,0,2,0,2,0,0,0,0,1,1,0,0,1,1,0
[선착순4명10만원할인] [품격] 시드니/멜버른/골드코스트 9일 (12대특전/8대특식),https://www.modetour.com/package/91859875,"7박9일,대한항공직항,쇼핑 3회,가이드 경비$97,선택관광있음","포트스테판, 멜버른, 블루마운틴, 골드코스트, 시드니",5,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
[선착순4명10만원할인] [품격] 시드니/멜버른/골드코스트 9일 (12대특전/9대특식),https://www.modetour.com/package/91859875,"7박9일,대한항공직항,쇼핑 3회,가이드 경비$97,선택관광있음","포트스테판, 멜버른, 블루마운틴, 골드코스트, 시드니",5,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0
[선착순4명10만원할인] [품격] 시드니/멜버른/그레이트오션로드 7일 (10대특전/5대특식),https://www.modetour.com/package/86165494,"5박7일,아시아나 항공직항,쇼핑 3회,가이드 경비$70,선택관광있음","멜버른, 포트스테판, 시드니, 블루마운틴",5,0,0,3,1,2,0,6,0,0,1,1,2,0,4,0,0,0,0
[선착순특가][보홀 / 솔레아 슈페리어] 발리카삭호핑투어+돌핀왓칭 3박5일,https://www.modetour.com/package/95879742,"3박5일,진에어직항,쇼핑 2회,가이드 경비$50,선택관광있음,자유일정포함",보홀,4.6,6,1,42,8,15,4,51,0,3,7,27,7,1,27,0,1,12,5
[선착순특가][보홀 / 솔레아 슈페리어룸] 데이투어+로복강 3박5일,https://www.modetour.com/package/96001463,"3박5일,진에어직항,쇼핑 2회,가이드 경비$50,선택관광있음,자유일정포함",보홀,4.3,0,0,6,3,4,1,18,0,1,0,7,4,0,5,0,0,4,3
[선착순특가][보홀] 팡라오 리젠트파크 스탠다드 3박5일,https://www.modetour.com/package/96443572,"3박5일,진에어직항,쇼핑 2회,가이드 경비$50,선택관광있음,자유일정포함",보홀,4.4,1,4,14,10,7,3,28,0,2,4,8,8,2,18,0,0,4,2
[설레는북해도] 삿포로/오타루/후라노/비에이 4일 (온천호텔2박+스파),https://www.modetour.com/package/95482357,"3박4일,에어부산직항,쇼핑 1회,가이드 경비￥4,000,선택관광없음,인솔자동행","오타루, 후라노, 삿포로, 아사히카와, 죠잔케이",4.8,0,0,0,0,0,0,4,0,1,1,1,1,0,2,0,0,1,1
[성인2+소아2예약전용] 사이판 크라운플라자오션뷰룸 3박4일 <호텔조식/아일랜드관광>,https://www.modetour.com/package/93275114,"3박4일,제주항공직항,쇼핑 없음,가이드 경비$30,선택관광없음,자유일정포함",사이판,4.8,1,0,6,4,2,0,11,0,0,4,3,0,2,5,0,0,3,1
[세계문화유산탐방] 마카오 핵심투어 2박3일 <1일자유/노쇼핑/간식비제공>,https://www.modetour.com/package/89934422,"2박3일,제주항공직항,쇼핑 없음,가이드 경비$40,선택관광있음,자유일정포함",마카오,4.7,1,0,3,0,0,0,4,0,0,1,3,0,0,2,0,0,2,0
"[쇼핑No,팁No,옵션No] 나트랑x달랏 5일 (나트랑 특급호텔/달랏 특급호텔/옵션ALL포함)",https://www.modetour.com/package/90196760,"3박5일,에어부산직항,쇼핑 없음,가이드 경비없음,선택관광없음","달랏, 나트랑",4.5,2,0,7,1,0,1,11,0,1,0,1,6,1,3,0,0,6,0
"[쇼핑No,팁No/빈원더스] 나트랑 5일 (메리어트리조트-2베드룸풀빌라가든뷰)",https://www.modetour.com/package/90198858,"3박5일,에어부산직항,쇼핑 없음,가이드 경비없음,선택관광있음,자유일정포함",나트랑,4.4,0,0,2,0,0,0,3,0,0,0,2,1,0,3,0,0,0,0
[시그니처/노쇼핑/노옵션/노팁] 베트남 하롱베이+캄보디아 6일 (특급숙식/풀옵션/급행비자),https://www.modetour.com/package/91367452,"4박6일,비엣젯 항공경유,쇼핑 없음,가이드 경비없음,선택관광없음","씨엠립, 하롱베이, 하노이",5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
[시그니처UP/팁포함][$230상당혜택(5대옵션/6대특식)] 나트랑1박X달랏2박 3박5일 [4성],https://www.modetour.com/package/88321037,"3박5일,베트남 항공직항,쇼핑 1회,가이드 경비없음,선택관광있음","달랏, 나트랑",4.7,9,1,57,6,21,4,83,0,0,1,5,26,34,15,0,12,35,4
[시그니처] [NO팁/옵션] 시드니/멜버른/그레이트오션로드 7일 (헬기투어/10대특전),https://www.modetour.com/package/86165873,"5박7일,아시아나 항공직항,쇼핑 2회,가이드 경비없음,선택관광없음","멜버른, 시드니, 블루마운틴, 헌터밸리",5,0,0,1,0,1,0,2,0,0,0,0,2,0,1,0,0,1,0
[시그니처] [NO팁/옵션] 시드니/탕갈루마/브리즈번 7일 (4명이상출발/탕갈루마리조트2박/11대특전),https://www.modetour.com/package/91862174,"5박7일,대한항공직항,쇼핑 2회,가이드 경비없음,선택관광없음,자유일정포함","시드니, 브리즈번, 블루마운틴",4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
[시그니처] 마카오 핵심투어 2박3일 (노쇼핑/노옵션/노팁),https://www.modetour.com/package/90114373,"2박3일,제주항공직항,쇼핑 없음,가이드 경비없음,선택관광없음,자유일정포함",마카오,3,1,0,2,2,0,1,4,0,1,0,0,2,1,2,0,0,2,0
[시그니처] 마카오+홍콩 3박4일 <호텔업그레이드/특식3회/노쇼핑/노옵션>,https://www.modetour.com/package/91560504,"3박4일,대한항공직항,쇼핑 없음,가이드 경비없음,선택관광없음","홍콩, 마카오",4.9,0,0,7,0,3,0,8,0,0,0,1,6,1,1,0,0,5,2
[시그니처][머큐어 2박] 후쿠오카/유후인/벳부 3일 (전일정 온천욕+호텔 석식),https://www.modetour.com/package/89973398,"2박3일,에어부산직항,쇼핑 1회,가이드 경비없음,선택관광없음,인솔자동행","오이타, 히타, 후쿠오카, 유후인, 벳부",1,1,0,1,1,1,0,1,,,,,,,,,,,
[시그니처]보홀직항 5일 (팡라오 리젠트-스탠다드)(어드벤처투어 + 아쿠아투어 + 전신마사지+노팁),https://www.modetour.com/package/89850907,"3박5일,제주항공직항,쇼핑 1회,가이드 경비없음,선택관광있음,자유일정포함",보홀,4.8,0,0,8,1,2,0,10,0,0,0,2,5,3,7,0,0,3,0
[시그니처♥인터컨디너뷔페][노팁노옵션] 청도 핵심 3일,https://www.modetour.com/package/90408563,"2박3일,에어부산직항,쇼핑 1회,가이드 경비없음,선택관광없음",칭다오,4.5,1,2,11,4,1,1,15,0,0,0,4,7,4,7,0,0,5,3
[시그니처♥인터컨디너뷔페][노팁노옵션]청도 핵심 3일,https://www.modetour.com/package/88187607,"2박3일,제주항공직항,쇼핑 1회,가이드 경비없음,선택관광없음",칭다오,4.9,4,3,36,5,10,2,41,0,1,3,8,15,9,12,0,5,15,4
[실속] 마카오/계림⛰️ 5일 (5성급/간수간쇼/발마사지),https://www.modetour.com/package/90548562,"3박5일,에어부산직항,쇼핑 3회,가이드 경비$50,선택관광있음","계림, 양삭, 마카오, 주해",4.3,0,0,3,0,0,0,7,0,0,0,0,0,5,0,0,1,2,2
[아바타투어따라잡기][성인2+소아2예약전용] 사이판 월드리조트 디럭스룸UP 3박4일 <전일정호텔식/마나가하섬(스노클강습)/별빛투어>,https://www.modetour.com/package/92967772,"3박4일,제주항공직항,쇼핑 1회,가이드 경비$30,선택관광있음,자유일정포함",사이판,4.9,3,0,17,11,11,1,31,0,1,8,14,1,1,23,0,0,0,2
[아침출발][유리다리+대협곡포함]【팁포함+NO옵션】무한 장가계 원가계 + 천문산 4박5일,https://www.modetour.com/package/87833932,"4박5일,대한항공직항,쇼핑 1회,가이드 경비없음,선택관광없음","장가계, 무한",4.8,1,1,4,0,1,2,6,0,0,0,1,4,1,5,0,0,1,0
[아침출발]사이판 아쿠아리조트 디럭스오션프론트룸 3박4일<VIP라운지혜택/아일랜드관광/마나가하섬/별빛크루즈>,https://www.modetour.com/package/95543979,"3박4일,제주항공직항,쇼핑 없음,가이드 경비없음,선택관광없음,자유일정포함",사이판,5,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1
[아침출발]사이판 월드리조트 스위트룸UP그레이드 3박4일<골드카드/아일랜드관광/마나가하섬/별빛크루즈>,https://www.modetour.com/package/91972851,"3박4일,제주항공직항,쇼핑 없음,가이드 경비없음,선택관광없음,자유일정포함",사이판,5,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
[알뜰특가/ONEPICK] 나트랑x달랏 5일 (준특급호텔/3개옵션포함/1일1간식),https://www.modetour.com/package/90202599,"3박5일,에어부산직항,쇼핑 3회,가이드 경비$40,선택관광있음","달랏, 나트랑",4.575510204,27,5,211,28,61,21,294,0,6,12,49,106,74,88,1,10,118,30
[얼리버드/출발확정] 동유럽+발칸 5국9일 (체코/헝가리/오스트리아/크로아티아/슬로베니아) <전일정 4성 호텔/프라하직항/쉔부른궁전 내부/전문인솔자 100% 동반>,https://www.modetour.com/package/95483102,"7박9일,아시아나 항공직항,쇼핑 4회,가이드 경비EUR90,선택관광있음,인솔자동행","부다페스트, 잘츠부르크, 프라하, 플리트비체, 블레드, 체스키크롬노프, 비엔나, 류블랴나, 할슈타트, 자그레브, 잘츠캄머구트",5,0,0,2,0,1,0,2,0,0,0,0,1,1,1,0,0,1,0
[얼리버드/출발확정] 동유럽+발칸 6국12일 (체코/오스트리아/헝가리/크로아티아/슬로베니아/보스니아) <프라하직항/2대 야경/전일정 4성 호텔/두브로브니크>,https://www.modetour.com/package/95496060,"10박12일,아시아나 항공직항,쇼핑 5회,가이드 경비EUR120,선택관광있음,인솔자동행,자유일정포함","잘츠부르크, 류블랴나, 부다페스트, 비엔나, 프라하, 체스키크롬노프, 자다르, 두브로브닉, 스플리트, 자그레브, 잘츠캄머구트, 블레드, 플리트비체, 할슈타트, 모스타르, 체스키부데요비체",3.5,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
[얼리버드][신규오픈 힐튼호텔] 무한 장가계 원가계+천문산 5일,https://www.modetour.com/package/95509968,"4박5일,대한항공직항,쇼핑 3회,가이드 경비$50,선택관광있음",장가계,4.9,1,0,13,1,3,3,16,0,0,0,0,7,6,2,0,1,8,2
[얼리버드][여름특선][인기NO.1]비에이/후라노/소운쿄 북해도 4일 (3대 게요리/술-음료무제한/5대특식/패치워크로드뷰/라벤다농원),https://www.modetour.com/package/95499977,"3박4일,이스타항공직항,쇼핑 1회,가이드 경비없음,선택관광없음,인솔자동행","소운쿄, 치토세, 후라노, 삿포로, 오타루, 죠잔케이",4.7,0,0,2,0,2,1,3,0,0,0,1,0,1,2,0,0,0,0
[여름 얼리버드][우리만♥무조건단독][노쇼핑/세미팩] 도쿄/오다이바/아사쿠사 3일 (일정수정가능/1일자유/현지차량가이드),https://www.modetour.com/package/95582327,"2박3일,에어서울직항,쇼핑 없음,가이드 경비￥3,000,선택관광없음,자유일정포함",도쿄,4.6,1,0,5,3,1,1,8,0,0,0,2,4,1,3,0,0,1,3
[여름얼리버드] 동유럽 3국9일 (체코/오스트리아/헝가리) <노팁/노옵션/노쇼핑/전일정4성호텔/스와로브스키 크리스탈월드/3코스특식/비엔나직항>,https://www.modetour.com/package/95486705,"7박9일,대한항공직항,쇼핑 없음,가이드 경비없음,선택관광없음,인솔자동행,자유일정포함","부다페스트, 비엔나, 잘츠캄머구트, 인스부르크, 잘츠부르크, 프라하, 부르노, 할슈타트, 체스키크롬노프",4.7,0,0,2,1,2,0,3,0,0,0,0,0,3,1,0,0,0,2
[여름얼리버드][스마트초이스/알짜배기] 후쿠오카/우키하/벳부/유후인/오고리 3일 (온천호텔1박+시내호텔1박),https://www.modetour.com/package/95521714,"2박3일,티웨이 항공직항,쇼핑 1회,가이드 경비￥3,000,선택관광없음,인솔자동행","아마가세, 후쿠오카, 벳부, 유후인",4.9,2,1,11,4,6,0,19,0,1,2,4,4,5,7,0,3,3,3
[여름얼리버드][출발확정] 북유럽 4국 9일 (노르웨이/스웨덴/덴마크/핀란드) <노쇼핑/크루즈 씨사이드1박/플롬열차탑승/베르겐/달스니바전망대/게이랑에르 피오르드>,https://www.modetour.com/package/95475063,"6박9일,터키 항공경유,쇼핑 없음,가이드 경비EUR90,선택관광있음,인솔자동행","구드방겐, 스톡홀름, 헬싱키, 오슬로, 피얼란드, 코펜하겐, 베르겐, 게이랑에르, 하당에르, 플롬, 울비크, 레르달",4.7,10,2,162,20,46,22,196,0,0,4,10,54,96,40,4,8,88,24
[여름얼리버드][후지산VS후지Q] 동경/아사쿠사/후지산/오다이바 OR 후지큐 하이랜드 4일 (온천호텔 2박),https://www.modetour.com/package/95629200,"3박4일,에어부산직항,쇼핑 1회,가이드 경비￥4,000,선택관광있음,인솔자동행","도쿄, 야마나시, 하코네, 치바",4.3,1,1,9,3,1,1,16,0,0,0,1,3,6,1,0,0,7,2
[여름특선] 비에이/후라노/아사히카와 북해도4일 (온천호텔1박/4대특식/패치워크로드뷰/라벤다농원/트랙터탑승/간식제공),https://www.modetour.com/package/93211121,"3박4일,제주항공직항,쇼핑 1회,가이드 경비￥4,000,선택관광없음,인솔자동행","삿포로, 후라노, 오타루, 치토세, 아사히카와, 죠잔케이",4.5,0,0,2,0,2,0,5,0,0,2,1,1,1,3,0,1,0,1
[여름히트/가족 모두만족여행] 오사카/나라 3일 (해유관/1일자유/트윈),https://www.modetour.com/package/93868580,"2박3일,에어서울직항,쇼핑 1회,가이드 경비￥3,000,선택관광없음,인솔자동행,자유일정포함","오사카, 교토, 나라",4.7,21,12,176,31,63,15,243,0,6,23,52,56,50,105,6,13,42,21
[오사카 자유3일] 하톤 호텔 신사이바시급 1박+왕복항공권+여행자보험 (세미더블룸/도심위치),https://www.modetour.com/package/96002875,"2박3일,진에어직항,쇼핑 없음,가이드 경비없음,선택관광없음,자유일정포함",오사카,4.5,5,3,39,12,15,4,65,0,2,1,18,12,19,25,2,5,11,9
[오전출발]<1일자유/노쇼핑>[월드체인호텔] 싱가포르 3박5일,https://www.modetour.com/package/95526446,"3박5일,싱가포르항공직항,쇼핑 없음,가이드 경비$40,선택관광있음,자유일정포함",싱가포르,4.7,7,2,82,16,33,7,112,0,5,10,30,28,15,62,1,2,19,4
[오전출발]<전일관광/노쇼핑> [월드체인호텔] 싱가포르 3박5일,https://www.modetour.com/package/95526450,"3박5일,싱가포르항공직항,쇼핑 없음,가이드 경비$40,선택관광있음",싱가포르,4.8,3,1,72,7,26,3,90,0,2,5,13,29,28,38,0,2,28,8
[온천에 빠진 베트남] 하노이+하롱베이 5일 [요코온센],https://www.modetour.com/package/90567738,"3박5일,아시아나 항공직항,쇼핑 3회,가이드 경비$40,선택관광있음","하롱베이, 하노이",4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
[우리만♥무조건단독] 오사카/나라/고베 온천 4일 (1일자유/롯코산/현지차량가이드),https://www.modetour.com/package/94137584,"3박4일,아시아나 항공직항,쇼핑 1회,가이드 경비없음,선택관광없음,자유일정포함","오사카, 고베, 나라",4.6,24,5,135,43,55,7,202,1,3,9,52,45,59,94,3,12,38,21
[유니버셜포함]<2일자유/노쇼핑> [월드체인호텔] 싱가포르 3박5일,https://www.modetour.com/package/91877869,"3박5일,티웨이 항공직항,쇼핑 없음,가이드 경비$20,선택관광있음,자유일정포함",싱가포르,5,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
[인기No.1][세계유산 후지산] 도쿄/후지산/하코네/오다이바 온천 4일(온천호텔1박/전일관광/트윈/해적유람선탑승),https://www.modetour.com/package/87321768,"3박4일,이스타항공직항,쇼핑 1회,가이드 경비￥4,000,선택관광없음,인솔자동행","야마나시, 도쿄, 하코네, 치바",4.7,6,0,32,14,16,4,48,0,0,2,4,10,21,13,1,3,14,5
[인기있다낭/호텔무료UP] 다낭/호이안/바나힐 4일 (4성->5성호텔로 무료UP),https://www.modetour.com/package/89314886,"3박4일,제주항공직항,쇼핑 3회,가이드 경비$40,선택관광있음","다낭, 호이안",4.7,28,12,230,54,80,29,301,0,10,28,92,73,39,138,6,13,47,38
[인솔자동반][고품격계림정복] 계림/양삭/광저우 4박5일 [노팁/노쇼핑/노옵션],https://www.modetour.com/package/95248208,"4박5일,대한항공직항,쇼핑 없음,가이드 경비없음,선택관광없음,인솔자동행","계림, 양삭, 광저우",4.8,1,0,3,1,0,0,4,0,0,0,0,0,2,0,0,0,2,0
[장가계직항] 장가계 원가계 + 천문산/유리다리/대협곡 3박5일 [NO팁+NO옵션],https://www.modetour.com/package/87827890,"3박5일,대한항공직항,쇼핑 1회,가이드 경비없음,선택관광없음",장가계,4.7,13,3,77,8,23,4,99,0,0,3,6,32,43,34,2,10,17,19
[전일관광/노쇼핑]싱가포르 5일(월드체인호텔),https://www.modetour.com/package/92108543,"3박5일,스쿠트항공직항,쇼핑 없음,가이드 경비$40,선택관광있음,자유일정포함",싱가포르,4.8,0,0,2,1,0,0,2,0,0,0,0,2,0,1,0,0,1,0
[즉시할인] 홍콩 핵심투어+자유일정 2박4일 <저녁출발/반일자유>,https://www.modetour.com/package/96020966,"2박4일,티웨이 항공직항,쇼핑 3회,가이드 경비$40,선택관광있음,자유일정포함","홍콩, 구룡, 신계",4.7,1,1,21,2,9,4,33,0,2,4,6,7,3,13,1,0,6,2
[즉시할인] 홍콩+마카오 핵심투어 3박4일 <1일자유>,https://www.modetour.com/package/95585385,"3박4일,아시아나 항공직항,쇼핑 3회,가이드 경비$40,선택관광있음,자유일정포함","홍콩, 마카오, 신계",4.9,4,2,32,5,14,3,39,0,1,0,3,6,2,8,0,0,4,0
[즉시할인][담당자 추천 큐슈] 후쿠오카/유후인/벳부 3일 (스기노이+바다전망노천온천+루프탑 수영장+뷔페식+노미호다이),https://www.modetour.com/package/95475107,"2박3일,진에어직항,쇼핑 1회,가이드 경비￥3,000,선택관광없음,인솔자동행","후쿠오카, 유후인, 벳부",4.8,1,1,14,2,7,4,16,0,1,3,8,3,1,10,1,2,3,0
[즉시할인][실속TOKYO디즈니] 도쿄/디즈니/오다이바 4일(트윈/포켓몬센터/원데이패스 포함),https://www.modetour.com/package/95980164,"3박4일,에어부산직항,쇼핑 1회,가이드 경비￥4,000,선택관광있음,인솔자동행,자유일정포함","도쿄, 치바",4,0,0,3,1,1,1,3,0,0,0,1,0,2,1,0,0,2,0
[집중모객][청주출발][휴양100%][해적호핑투어/머드온천/간식3종] 나트랑 패키지 3박5일[4성호텔],https://www.modetour.com/package/92538592,"3박5일,티웨이 항공직항,쇼핑 3회,가이드 경비$40,선택관광있음,자유일정포함",나트랑,5,0,0,1,0,0,0,1,,,,,,,,,,,
[청주출발/아침출발] 오사카/교토/아라시야마/유니버셜스튜디오 4일(5대특전+란덴열차),https://www.modetour.com/package/90410753,"3박4일,티웨이 항공직항,쇼핑 1회,가이드 경비￥4,000,선택관광없음,인솔자동행","오사카, 교토, 난바",4.2,0,0,13,3,2,2,16,0,0,2,8,2,2,12,0,0,1,1
[청주출발] 다낭/호이안/바나힐 3박5일 [4성호텔]($275상당특전- 럭셔리 아쿠아스파 무료UP포함),https://www.modetour.com/package/95515887,"3박5일,에어로케이직항,쇼핑 3회,가이드 경비$40,선택관광있음","다낭, 호이안",4.9,2,1,17,3,7,4,19,0,0,1,8,3,3,13,0,0,2,0
[청주출발][MODE드림] NO팁+NO옵션 장가계 천문산 원가계 4일,https://www.modetour.com/package/94435802,"3박4일,사천항공직항,쇼핑 1회,가이드 경비없음,선택관광없음",장가계,4.9,4,0,49,3,12,1,61,1,2,4,6,29,12,28,0,4,16,6
[청주출발][VIETNAM-ONEPICK][달랏야시장/레일바이크/케이블카/1일1간식] 나트랑달랏 보러갈래 3박5일[4성],https://www.modetour.com/package/92538593,"3박5일,티웨이 항공직항,쇼핑 3회,가이드 경비$40,선택관광있음","나트랑, 달랏",4.7,3,2,24,3,6,2,39,0,3,1,5,12,13,7,0,7,14,6
[청주출발][多퍼드림] 장가계 원가계+천문산/천문산사/유리다리 3박4일,https://www.modetour.com/package/94381929,"3박4일,사천항공직항,쇼핑 3회,가이드 경비$40,선택관광있음",장가계,4.7,3,1,28,6,8,1,37,0,2,1,6,16,8,20,0,1,11,1
[청주출발][美味온천] 품격 북해도 4일 (3대게특식/오타루/맥주박물관/온천호텔/유람선),https://www.modetour.com/package/92031659,"3박4일,에어로케이직항,쇼핑 1회,가이드 경비없음,선택관광없음,인솔자동행","노보리베츠, 삿포로, 오타루, 도야, 치토세",3.8,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
[청주출발][노팁/노옵션/쇼핑1회/아쿠아스파] 나트랑1박X달랏2박 3박5일 [4성],https://www.modetour.com/package/88204471,"3박5일,티웨이 항공직항,쇼핑 1회,가이드 경비없음,선택관광없음","나트랑, 달랏",4.5,0,0,5,1,1,0,7,0,0,0,0,4,3,2,0,0,5,0
[청주출발]럭셔리_장가계 [팁포함/노옵션/노쇼핑/리무진버스] 장가계 원가계 4일,https://www.modetour.com/package/94442405,"3박4일,사천항공직항,쇼핑 없음,가이드 경비없음,선택관광없음",장가계,4.4,1,0,8,0,4,1,10,0,0,1,0,5,4,6,0,0,0,4
[최저가도전/하롱호텔UP] 하노이/하롱베이+옌뜨 5일 (하롱5성 솔레일 하롱/씨푸드포함),https://www.modetour.com/package/96223567,"3박5일,비엣젯 항공직항,쇼핑 3회,가이드 경비$40,선택관광있음","하노이, 하롱베이",4.9,0,0,2,0,1,0,4,0,0,0,1,3,0,4,0,0,0,0
[최저가도전] 오사카/고베 3일 (1일자유+시내호텔연박),https://www.modetour.com/package/91793371,"2박3일,진에어직항,쇼핑 1회,가이드 경비￥3,000,선택관광있음,인솔자동행,자유일정포함","오사카, 고베",5,0,0,1,0,0,0,1,,,,,,,,,,,
[최저가도전] 후쿠오카/유후인/벳부 3일 (온천호텔+시내호텔+카이세키식),https://www.modetour.com/package/95659656,"2박3일,에어부산직항,쇼핑 1회,가이드 경비￥3,000,선택관광없음,인솔자동행","후쿠오카, 큐슈, 벳부, 유후인",4.9,2,7,42,14,19,5,57,0,1,2,13,10,6,19,0,1,7,6
[추석연휴좌석확보][출발확정][품격] 호주/뉴질랜드 남북섬 11일,https://www.modetour.com/package/91951416,"8박11일,싱가포르항공경유,쇼핑 6회,가이드 경비$100,선택관광있음","오클랜드, 시드니, 밀포드사운드, 마운트쿡, 로토루아, 블루마운틴, 퀸스타운, 타우포, 크라이스트처치, 트와이젤",4.7,1,0,22,1,5,1,33,0,0,0,3,8,13,10,0,2,5,7
